,News,Classification
2020,Tieto in Latvia is represented by IT services companies TietoEnator Alise and TietoEnator  which has operations in the industries of Financial Services Cards  Retail and Logistics and IT Outsourcing and Managed Services .,neutral
2021,Swedish  Finnish and Danish listed companies are organized in three market cap segments  Nordic Large Cap  Mid Cap and Small Cap .,neutral
2022,The company can be split into two parts over the coming months  with Essent owning and operating production and supply  and Enexis owning and operating the grid .,neutral
2023,Finnish elevators and escalators maker KONE Corporation said on Tuesday ( 18 March ) that it has received a major order from Sir Robert McAlpine to supply all elevators and escalators for the Watermark Place project in the City of London .,positive
2024,Based on the first quarter result  existing order backlog and new order prospects  the company expects that full-year sales will contract by 25 % from 2008  the gross margin will stay at a healthy level  and the operating profit margin will be lower than in 2008 due to lower sales volume .,negative
2025,According to the Finnish-Russian Chamber of Commerce  all the major construction companies of Finland are operating in Russia .,neutral
2026,`` We have the most expensive water brand in Finland at the moment . '',neutral
2027,The total scope of the project is about 38000 square metres and it is valued at a total of around EUR75m .,neutral
2028,He will report to CapMan Plc 's CEO Heikki Westerlund .,neutral
2029,The order is related to renewing the network of the telecommunications operator .,neutral
2030,Karppinen expects the consolidation trend to continue in the Finnish market .,neutral
2031,a January 11  2010 EPHC board of directors has approved an increase in the quarterly dividend from $ 0.03 to $ 0.05 per share .,positive
2032,Operating loss totaled EUR 0.3 mn compared to a profit of EUR 2.2 mn in the corresponding period in 2007 .,negative
2033,Financial terms were n't disclosed .,neutral
2034,A total of 38244 new Citycon shares with a nominal value of EUR 1.35 per share were subscribed on 19 April exercising the A-B-C options based on the company 's stock option plan 1999 .,neutral
2035,Argentine agricultural export company Calafate has tapped compatriot firm Finnegans for a software solution  the latter company said in a statement .,neutral
2036,UPM-Kymmene www.upm-kymmene.com produces magazine papers and newsprint  as well as fine and specialty papers  converting materials and wood products .,neutral
2037,`` We continued actively to focus R&D and to position our offering away from point solutions towards dynamic end-to-end solutions  '' Ervio stated .,positive
2038,Operating profit totalled EUR 5.8 mn  up from a loss of EUR 1.7 mn in the fourth quarter of 2009 .,positive
2039,The stock price rose 70.0 ores or 0.9 % to close at SEK77 .65  ending a two-day streak of losses .,positive
2040,Finnish Scanfil  a systems supplier and contract manufacturer to the communications sector and the electronics industry  reports its net sales totalled EUR 94.7 mn in the first half of 2010  down from EUR 99.5 mn in the first half of 2009 .,negative
2041,All of Raisio 's divisions recorded an operating profit .,positive
2042,Los Angeles-based Pacific Office Properties Trust acquires  owns  and operates office properties in the western U.S.  focusing initially on the markets of Honolulu  San Diego  Los Angeles  and Phoenix .,neutral
2043,The facility will have a lettable area of some 19000 sq m. The plot for the plant  located in the Ratasmaki business park  will be purchased from the City of Forssa .,neutral
2044,`` As defences mature  attackers develop Trojans that are equipped with content filters to detect online banking activity for capturing account details using methods such as form grabbing  screen shots  video captures  keylogging and injection of form fields .,neutral
2045,In the video above Marimekko 's design manager  Noora Niiininoski  explains that the brands are a natural fit for each other because they both have a timeless style .,neutral
2046,Order intake grew by 40 % year-on-year and 30 % year-on-year  respectively  to EUR 576 million and EUR 1.7 billion for the respective January-September and July-September 2010 periods .,positive
2047,According to him  construction work will start in spring 2007  and the facility is to be commissioned in spring 2008 .,neutral
2048,The sellers were EOSS Innovationsmanagement and a group of private individuals .,neutral
2049,International operations accounted for over 80 % of net sales .,neutral
2050,Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million  a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .,positive
2051,Last year 's net sales rose to EUR 68.3 million from EUR 62.2 million .,positive
2052,If needed  she provides also further information on ferry connections and hotels .,neutral
2053,There has been some recovery of the base metals prices and increased demand for metals in China  however .,positive
2054,The order also includes extensive maintenance work of a shoe press delivered by Vaahto in 2001 .,neutral
2055,According to Finnish Metso Minerals  the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .,positive
2056,` The stable outlook reflects Nokia 's strong market position in the global mobile handset market  strong cash flow generation  and very conservative balance sheet  ' said Raab .,positive
2057,Satama and Trainers ' House will remain as names and independent brands of the business areas .,neutral
2058,The payment of 2.779 million litas in interest on a long-term loan provided by Ragutis ' majority shareholder  Estonia 's A. Le Coq  also added to the losses .,negative
2059,The company is headquartered in Sievi  Finland  and is listed on the Nordic Exchange in Helsinki .,neutral
2060,According to CEO Matti Perkonoja of the parent company HKScan  the company 's performance in the first quarter of 2010 has remained clearly below the level of the corresponding period in 2009 .,negative
2061,This includes a EUR 39.5 mn change in the fair value of investment properties .,neutral
2062,Risto Raty  Tekla 's executive vice president  said that Tekla Structures and ArchiCAD will cover the entire design and documentation workflow throughout a construction project .,neutral
2063,Earlier today  Geberit 's Finnish rival Uponor OYJ cut its full-year sales growth forecast to 6 pct from 10 pct  blaming tough conditions in Germany and the US  as well as currency factors .,negative
2064,The aim is to develop open-source application solutions .,neutral
2065,This would be a huge process .,neutral
2066,Also in Latvia  we act as a partner for bakery customers in both production and product development .,neutral
2067,In 2007  the Group 's net sales stood at EUR 42 million and it had about 1445 employees .,neutral
2068,Solteq Plc ANNOUNCEMENT 16.12.2010 SHARE REPURCHASE 16.12.2010 In the Helsinki Stock Exchange Solteq Plc now holds a total of 486.969 shares including the shares repurchased on 16.12.2010 .,neutral
2069,Cramo  headquartered in Vantaa  Finland  rents construction machinery and equipment  as well as rents and sells modular space .,neutral
2070,In January-November 2009  the group 's sales totalled EUR 7801.7 mn  which was a drop of 12.6 % from the same period of 2008 .,negative
2071,The Process Products orders are for the installation of separation-filtration equipment at three natural gas pipeline projects in China  South America  and Saudi Arabia .,neutral
2072,Cardona slowed her vehicle  turned around and returned to the intersection  where she called 911 .,neutral
2073,Finnish Suominen Corporation that specialises in wet wipes  nonwovens  and flexible packaging reports net sales of EUR 44.1 mn in the second quarter of 2010  up from EUR 43.3 mn in the second quarter of 2009 .,positive
2074,Jarmo Honkamaa  head of the oil refining business at Neste Oil  says the situation looks promising from their viewpoint .,positive
2075,The decision reflects the underutilisation of the line  which produces nonwovens used in medical and wipes applications as well as for the automotive industry .,neutral
2076,The maximum grade of the veneer yield is calculated  based on the dimensions and grades of the veneer products  as well as by iterating the places of the peeling axes and simulating the peeling process .,neutral
2077,Operating profit rose to EUR 4.7 mn from EUR 3.6 mn .,positive
2078,The expansion will be delivered in the fourth quarter of 2006 .,neutral
2079,The company 's profit totaled Ls 134700 .,neutral
2080,Ruukki 's order book at the end of 2010 was 30 % up year-on-year and 10 % up quarter-on-quarter .,positive
2081,Helsinki on October 22  2008 SSH COMMUNICATIONS SECURITY CORP Board of Directors For further information  please contact : Tomi Laamanen  Chairman  tel. +358 0 400 609 544 Distribution : NASDAQ OMX Helsinki Ltd. .,neutral
2082,The deal is subject to approval by the Norwegian competition authorities .,neutral
2083,Svyturys-Utenos Alus  which is controlled by the Nordic group Baltic Beverages Holding ( BBH )  posted a 6.1 percent growth in beer sales for January-September to 101.99 million liters .,positive
2084,At the end of last week  Protalix BioTherapeutics Inc ( AMEX : PLX ) published a prospectus for a first offering on AMEX of about 5 % of its share capital .,neutral
2085,The economic occupancy rate of Sponda 's property portfolio rose to 91.2 % from 88.8 % in 2006 .,positive
2086,Finnish forest machinery manufacturer Ponsse has issued a profit warning .,negative
2087,`` Because we 're a pension insurance company  we 're required to diversify and not put too much in one asset class .,neutral
2088,The orders also include a few high-power drives for the control of seismic compressors .,neutral
2089,Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100  while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .,positive
2090,Operating loss totalled EUR 4.0 mn  compared to a profit of EUR 8.6 mn in the second quarter of 2008 .,negative
2091,Thanks to the internet  consumers compare products more than previously and Finnish companies are not competitive .,negative
2092,Target company : Tieto Corporation  Business Identity Code : 0101138-5 Date of change in holding : 22 January 2010 Portion of the shares and votes : The current group holding of OP-Pohjola Group Central Cooperative ( OPK ) is 2982 587 shares  which represents 4.14 % of the shares and voting rights .,neutral
2093,The price of raw material aluminium went up at the end of 2005  but the company considers its outlook for 2006 favourable .,positive
2094,`` This is a significant milestone for Benefon  helping us to secure critical USP 's for our personal navigation product roadmap for 2007 and beyond  '' commented Simon Button  Chief Technology Officer at Benefon .,positive
2095,For the current year  Raute expects its net sales to increase and the operating result -- to be positive .,positive
2096,SSH Communications Security Corporation is headquartered in Helsinki  Finland .,neutral
2097,YIT lodged counter claims against Neste Oil totaling some EUR25m  primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project .,negative
2098,In the financial statement for the first quarter of 2010  Tikkurila is reported under discontinued operations .,neutral
2099,The company admits that 36 months is a relatively short time when operating in Russia .,neutral
2100,The net sales of the Power Plants business were EUR 710.3 million in 2005 .,neutral
2101,Fortum had previously bought the state-held stake in TGK-10 from RAO UES during its reform .,neutral
2102,The new system  which will include 60 MC3090 PDAs from Motorola  to be used by 60 Poundstretcher operatives across 3 shifts  will integrate in real-time with the company s existing Warehouse Management System  Aldata G.O.L.D Stock  which went live in May 2008 .,neutral
2103,Efore 's results for the last quarter showed an even faster improvement as the company managed to better source its components .,positive
2104,According to Nordic financial group Nordea 's analyst Sami Sarkamies  this makes Nokia 's portfolio competitive again .,positive
2105,All Amer Sports companies develop and manufacture technically advanced products that improve the performance of active sports participants .,neutral
2106,Lassila & Tikanoja 's operating profit excluding non-recurring and imputed items for the second quarter was EUR11 .3 m  down from EUR13 .8 m a year ago .,negative
2107,Protalix has $ 42 million in cash and no sales .,neutral
2108,Ragutis  controlled by the Finnish brewery Olvi  achieved a 5.7 percent rise in beer sales to 22.6 million liters and held a 10.75 percent market share .,positive
2109,Headquartered in this city  the company is nearly 75 years old and focuses on science-based innovation and technology for environmental measurement .,neutral
2110,Operating profit totalled EUR 0.4 mn  up from an operating loss of EUR 0.8 mn year-on-year .,positive
2111,Tulikivi manufactures heat-retaining  soapstone and ceramic fireplaces  as well as natural stone products and utility ceramics .,neutral
2112,Pretax profit rose to EUR 0.6 mn from EUR 0.4 mn in the corresponding period in 2005 .,positive
2113,The total value of the agreement is USD4 .0 m  the company said .,neutral
2114,The estimated annual value of the frame agreement is about EUR 50mn .,neutral
2115,The borrower was happy to do the roadshow and this paid off as the hit ratio from it was high .,positive
2116,Mr. Kari Stadigh will carry on as Chairman of the Board and Mr. Matti Arteva as Vice-Chairman .,neutral
2117,A PLUMBING business has announced it is sponsoring a professional darts player .,neutral
2118,The dividend is payable on February 1  2010 to shareholders of record on January 19  2010 .,neutral
2119,The financial impact is estimated to be an annual improvement of EUR2 .0 m in the division 's results  as of fiscal year 2008 .,positive
2120,The program  which was started in the summer of 2007  was originally estimated to last approximately two years .,neutral
2121,"The equipment Ixonos acquires with this deal includes mechanical engineering hardware , an RF and antenna measurement laboratory , facilities for the measurement of audio  cameras and displays , as well as devices and robot units for the testing of mobile devices .",neutral
2122,Jon Risfelt is 49 years old holds a Master of Science in Chemical Engineering from the Swedish Royal Institute of Technology .,neutral
2123,A coker crane will be supplied to Tesoro Corporation 's Golden Eagle Refinery in Martinez  California  while a similar crane will be delivered to BP 's Castell refinery in Spain .,neutral
2124,Earnings per share for January-June 2010 were EUR0 .30  an increase of 20 % year-on-year EUR0 .25 .,positive
2125,In the reporting period  the company 's operating profit grew by 43.2 % to EUR 6 million .,positive
2126,The sellers include 40 shareholders  including Intellibis management  employees and other investors .,neutral
2127,Koduextra is operating a retail chain of 11 stores  controlled by Finnish Non-Food Center KY  Rukax OY  and Scan-Tukka OY .,neutral
2128,After the split  the number of K shares will be 9 540 000 and the number of A shares 26 885 540 .,neutral
2129,The tanks will be delivered to a company which is currently building a chemical tank farm in Antwerp  northern Belgium .,neutral
2130,Operating profit decreased to nearly EUR 1.7 mn  however .,negative
2131,efficiency improvement measures 20 January 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today that it will continue to improve its operational efficiency  by focusing on its profitable core operations .,positive
2132,Subscribers of China Unicom  the nation 's second largest mobile phone operator after China Mobile  are expected to release pictures  videos and blog on the Internet via mobile phones as of March 2008 .,neutral
2133,Finnish construction group YIT has been awarded a contract to install heating  air conditioning and cooling systems to the new head office of the automobile association ADAC in Munich in Germany .,positive
2134,The Finnish company previously said its operating result will be lower than the break-even posted a year earlier .,negative
2135,Once your plants are in the ground they will continue to grow  but the success of any garden lies in how well it 's maintained .,neutral
2136,In total  more than 3000 surveillance cameras will be handled and managed according to a variety of needs  the company said .,neutral
2137,In the method the smelt spouts 2 are separated from the working area 6 by a shielding wall 8  10 arranged movable in relation to the smelt spouts .,neutral
2138,The growth of net sales in the first half of 2008 has been 28 % compared with the first half of 2007 .,positive
2139,Profit of the accounting period was EUR 0.3 mn .,neutral
2140,The pretax profit of the group 's life insurance business increased to EUR36m from EUR27m .,positive
2141,The name of the buyer was not disclosed .,neutral
2142,Under a preliminary estimation  the technology park will measure about 50000 square meters .,neutral
2143,Operating profit rose to EUR 9.2 mn from EUR 6.8 mn in the corresponding period in 2007 .,positive
2144,Under the deal  Know IT will pay SEK90m ( USD12 .8 m-EUR8 .6 m ) in cash and stock .,neutral
2145,Motorola accounted for 11.5 percent of the South Korean handset market as of the end of April  Samsung held 55 percent and LG Electronics 19 percent  according to Korea-based ATLAS Research Group .,neutral
2146,The company closed last year with a turnover of about four million euros .,neutral
2147,Almost two thirds of Olvi 's net sales come from outside Finland .,neutral
2148,May 29  2010 ( CompaniesandMarkets.com delivered by Newstex ) -- This report provides key data and information on the meat  fish and poultry market in Finland .,neutral
2149,Finnish investment group Norvestia Oyj said its net profit fell to 23.5 mln euro $ 30.6 mln in 2006 from 33.5 mln euro $ 43.6 mln in 2005 .,negative
2150,An audio webcast will be available live and archived on Cerner 's Web site at www.cerner.com .,neutral
2151,The estimated turnover of the new company is LVL 25 million EEK 40 million .,neutral
2152,Outotec 's scope of delivery includes design  basic engineering and supply of proprietary equipment for a sinter plant with a grate area of 496 square meters .,neutral
2153,ADPnews - Sep 28  2009 - Finnish silicon wafers maker Okmetic Oyj HEL : OKM1V said it will reduce the number of its clerical workers by 22 worldwide as a result of personnel negotiations completed today .,negative
2154,Affecto will provide a new EFI Data Warehouse and reporting solution  behavioural scoring system supporting operational decision processes and Data Migration from old legacy systems to the new EFI system .,neutral
2155,The office space will rise above the remodeled Cannon Street underground station .,neutral
2156,The order was valued at USD12 .2 m.,neutral
2157,BasWare Order Matching automatically matches purchase invoices with approved purchase orders .,neutral
2158,Previously  the company had guided for EBIT and sales growth of 20 pct and 10 pct respectively for this year .,positive
2159,Rapala VMC Corporation Rapala  a leading fishing tackle and sporting goods manufacturer and distributor  is the main owner of Peltonen with its 80 % shareholding .,neutral
2160,Rubin says he expects Capman to announce 1-2 additional transactions in 2009 .,neutral
2161,Earnings per share EPS are seen at EUR 0.56  up from EUR 0.38 .,positive
2162,Okhta Center area is expected to have about 700000 square metres of office premises by 2016 .,neutral
2163,L&T is operative in Finland  Sweden  Latvia  Russia and Norway .,neutral
2164,Proha Plc ( Euronext :7327 ) announced today ( 19 May ) that its fully-owned subsidiary  Safran Software Solutions AS  has agreed to sell its 49 % share of Safran North America LLC to a SNA Holding AS  an investment group based in Norway .,neutral
2165,ALEXANDRIA  Va.  Oct. 3 -- Markka A. Oksanen and Harald Kaaja  both of Helsinki  Finland  Juha Salokannel of Kangasala  Finland  and Arto Palin of Viiala  Finland  have developed a system for providing communications security .,neutral
2166,The sale of Savcor FACE to Cencorp will result in a profit or loss which can not yet be determined  owing to factors including the valuation of the consideration shares to be received and prevailing exchange rates .,neutral
2167,The value of the order is nearly EUR400m .,neutral
2168,In Q1 of 2009  the company 's result before taxes from continuing operations  excluding non-recurring items  totalled EUR -0.4 mn  compared to EUR -0.1 mn in the corresponding period in 2008 .,negative
2169,`` They want my credit card info and my personal details .,neutral
2170,Consumption is forecast to grow by about 2 % .,positive
2171,Tecnotree 's convergent charging solution includes functionality for prepaid and post-paid billing  charging and rating of voice calls  video calls and raw data traffic for both mobile and fixed networks .,neutral
2172,The building complex consists of high-quality office and retail space totalling 49200 square metres  the company said .,neutral
2173,The ECB can mainly target inflation .,neutral
2174,Quality chargers under CHARGZ brand are sold in selected retail stores and other sales locations world-wide .,neutral
2175,The turbines are expected to be launched by the end of 2012 .,neutral
2176,4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 000 in 2009 and it lifted its dividend proposal .,positive
2177,Scanfil expects net sales in 2008 to remain at the 2007 level .,neutral
2178,The contract covers the supply of temporary heating equipment for LKAB 's new pellet plant in Kiruna  in northern Sweden .,neutral
2179,The company specialises in temporary electrification and heating at construction sites .,neutral
2180,Elisa said mobile subscriptions grew 7 percent during 2007  mainly because of customers adopting so-called third generation mobile technology .,positive
2181,The Notice in its entirety with other proposals from the Nomination Committee and the Board will be published at least four weeks before 28 April on the company 's website and in Post - och Inrikes Tidningar and Dagens Industri .,neutral
2182,Metso 's delivery will include a complete coated board line with related air systems and two winders .,neutral
2183,One of the headboxes will be equipped with a modern consistency control system to ensure cross machine profile of the plasterboard  company said in a statement received by Lesprom Network .,neutral
2184,Honkarakenne Oyj - a world-leading manufacturer of genuine wooden homes - will be sponsoring Finnish crosscountry skier Virpi Kuitunen for the next three years .,neutral
2185,Halonen 's office acknowledged receiving the letter but declined comment .,neutral
2186,The company will enhance the GPRS capability in the existing 12 IDEA telecom service areas and add 10 more service areas to its network .,positive
2187,`` We have come out with a decision which is based on our preliminary economic  operational and environmental findings  '' Karvinen said .,neutral
2188,It is expected to be online by 2011 .,neutral
2189,Solidium now holds 5.0 per cent of the shares Solidium Oy has acquired 5.0 per cent of the shares in Tieto Corporation for approximately EUR 58 million .,neutral
2190,It has some 30 offices worldwide and more than 90 pct of its net sales are generated outside Finland .,neutral
2191,The airline estimated that the cancellation of its flights due to the closure of European airspace  and the process of recommencing traffic  have caused a the company a loss of EUR20m  including the costs of stranded passengers ' accommodation .,negative
2192,Salcomp Oyj  the Finnish maker of mobile phone chargers  Monday posted a EUR1 .49 million loss in the second quarter compared with a 1.70 million profit in the same period the previous year .,negative
2193,Investment management and investment advisory services are the company 's sole line of business .,neutral
2194,Net sales totaled EUR 93.6 mn  up from EUR 93.2 mn in the corresponding period in 2005 .,positive
2195,A maximum of 666104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .,neutral
2196,Work on the assignment has already started and is due for completion in spring 2011 .,neutral
2197,The repurchase of the bonds was executed in the open market in accordance with section 7 f of the terms and conditions of the Convertible Bonds .,neutral
2198,In Sweden  Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .,neutral
2199,Profitability ( EBIT % ) was 13.9 %  compared to 13.1 % in the previous-year period .,positive
2200,Rapala aims to move the distribution unit Ragot from Loudeac in Bretagne and the distribution unit Waterqueen and the fishing line supplier Tortue from Saint Marcel in Central France to Morvillars .,neutral
2201,The proposed consolidation activities will impact approximately 30 positions .,neutral
2202,EuroChem Head of Corporate Finance Alexander Gavrilov said : `` I am pleased that we have once again confirmed that EuroChem is able to attract long-term funds at attractive rates .,positive
2203,FL Group 's private equity division manages all operating companies  including Icelandair Group  FL Travel Group  Bluebird and Sterling .,neutral
2204,Finnish property investment company Citycon plans to issue directed subordinated convertible bonds to institutional investors .,neutral
2205,`` The number of collection errors fell considerably  and operations speeded up .,positive
2206,When new types of network elements are added to the network  the conversion file is updated by adding the information required for converting the message format of the new network element type to the format understood by the management system .,neutral
2207,Rapala estimates its net sales for 2008 will increase by between 8.0 pct and 12 pct assuming 2007 exchange rates .,positive
2208,Decisions are to be made as quickly as possible .,neutral
2209,Swedbank 's shares have been hardest hit of the Swedish banks by the ongoing international financial crisis .,negative
2210,Based in Helsinki  Finland  Ramirent has branches in 13 Nordic  central and Eastern European countries .,neutral
2211,Dopplr members share personal and business travel plans privately with their networks  and highlight interesting places to stay  eat and explore in cities around the world .,neutral
2212,The original name Componenta +àm+Ñl  as a subsidiary of the Finnish Componenta Group  has been changed to +àm+Ñl Components and the company has seen a 63 % growth in Q1 2010  in comparison to Q1 2009 .,positive
2213,Talvivaara Mining Company Plc Talvivaara Mining Company is an internationally significant base metals producer with its primary focus on nickel and zinc using a technology known as bioheapleaching to extract metals out of ore .,neutral
2214,Under the transaction agreement  Metsaliitto will purchase 24.7 % of Metsa-Botnia 's shares from UPM and 3 % from M-real .,neutral
2215,Both Mr Walden and Mr Ignatius will be responsible also for the newspapers ' business result .,neutral
2216,The contract includes heating plant equipment and associated installation work .,neutral
2217,A total of 131000 Talvivaara Mining Company Plc 's new shares were subscribed for during the period between May 1  2010 and June 30  2010 under the company 's stock option rights 2007A .,neutral
2218,In addition to the Tulikivi Corporation  he is also currently a member of the Board of the following companies : Altia Corporation  J+ñrvi-Suomen Portti Osuuskunta  Osuuskunta KPY  Profile Vehicles Oy and Voimatel Oy .,neutral
2219,Its 168 asset management experts manage assets worth over EUR 35 billion .,neutral
2220,Creating interfaces that are more similar to interactions in the real world can enable experiences that are more natural and intuitive  in the same way that modern games and movies are more immersive through the use of realistic 3-D graphics .,neutral
2221,The first stage of the contract covers 133 stores and 600 cash registers .,neutral
2222,Sanoma also has an Executive Committee  in accordance with the Company 's Articles of Association  that prepares proposals for matters to be decided or noted by the Board of Directors .,neutral
2223,Kemira  headquartered in Helsinki  Finland  is an international chemicals group comprising the business areas Kemira Pulp & Paper  Kemira Water  Kemira Specialty and Kemira Coatings .,neutral
2224,Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,neutral
2225,`` The issues identified by Stonesoft affect a range of content inspection technology .,neutral
2226,Finnish publisher Alma Media ( HEL : ALN1V ) said Wednesday it has decided to further extend its EUR1 .85 ( USD2 .75 ) apiece mandatory tender offer for media group Talentum ( HEL : TTM1V )  which started on 19 August  until 16 November .,neutral
2227,The Board of Directors has proposed the Extraordinary General Meeting to authorise the Board to decide on the issuance of a maximum of 30mn new shares in one or more share issues .,neutral
2228,Also  CBA is to issue a benchmark  10 year fixed rate deal in Euros .,neutral
2229,The casing comprises a first side casing member provided with the first side vat segment and a second side casing member provided with the second side vat segment  at least the first side casing member being pivotable about a rotation axis .,neutral
2230,The official opening of the office  located in Prague  will be celebrated on May 20 .,neutral
2231,Kershaw takes up the position with immediate effect from her previous role as marketing manager of Sankey Home & Garden Products .,neutral
2232,`` Stonesoft sees great promise in the future of IPv6 .,positive
2233,The outsourced Scan and Capture solutions transfer paper invoices into electronic format  and Basware Business Transactions Service allows the customer to receive and send invoices in an electronic format .,neutral
2234,After non-recurring items of EUR 177mn  profit amounted to EUR 20mn .,neutral
2235,Implementation of the project will be carried out by the Finnish company YIT in association with the investment fund Evli Property Investment Russia ( EPI ) .,neutral
2236,The financial details of the transaction were not disclosed .,neutral
2237,Turnover rose to EUR21m from EUR17m .,positive
2238,The 19200-square metre technology center is located near University of Tampere in central Tampere .,neutral
2239,The authorization is in force for a period of 18 months from the resolution by the General Meeting .,neutral
2240,The stock was hit by the profit warning of Finnish rival Rautaruukki Oyj ( OMX : RTRKS ) .,negative
2241,Neste Shipping is the most likely to remain Finnish as the oil sector and its transports are significant for emergency supply .,neutral
2242,Acando AB ( ACANB SS ) fell 8.9 percent to 13.35 kronor  the lowest close since Dec. 11 .,negative
2243,In addition to fireplace exports  demand for lining stone has exceeded the level of the earlier part of the year and will continue to be clearly brisker for the remainder of the year .,positive
2244,The inventor was issued U.S. Patent No. .,neutral
2245,The main strength of the cooperation project lies in merging the know-how of two large companies .,positive
2246,Bovine slaughtering and cutting at the Kuopio facility will be transferred to the Kauhajoki slaughterhouse .,neutral
2247,In the sinter plant  limestone and coke breeze are mixed with the iron ore concentrate and sintered into lump form or sinter for use in the blast furnaces as a raw material for iron-making .,neutral
2248,The project also implies an underground parking lot for 56 vehicles .,neutral
2249,Talvivaara also maintains its assumption of turning cash flow positive before the year end .,positive
2250,In the fourth quarter of 2008  net sales increased by 2 % to EUR 1050.7 mn from EUR 1027.0 mn in the fourth quarter of 2007 .,positive
2251,The figure includes the change in the fair value of the property portfolio  EUR 26.2 million .,neutral
2252,Employees are also better prepared to answer calls  since they already have detailed information about the caller before they answer the phone . '',positive
2253,Estonian telecoms company Elisa 's customer numbers cross 400000 TALLINN  Oct 22  BNS - The Estonian telecommunications company Elisa won approximately 50000 new clients in the nine months of this year  bringing the number to 401800 by the end of September  the company said .,positive
2254,`` Our Vaalipalvelu-service was especially developed for use by communities and organizations .,neutral
2255,Seven-month sales of Ragutis  which is controlled by the Finnish brewery Olvi  declined by 11.2 percent  to 15.41 million liters  and the company held 9.89 percent of the market .,negative
2256,The bond has a value of EUR150m and a maturity of 4 years .,neutral
2257,Mr. Koistinen joins from Nokia Siemens Networks where he has held various senior sales management and business development positions since 1997 .,neutral
2258,Our customers include companies in the energy and process industry sectors  in particular .,neutral
2259,The sale will allow Campofrio to focus on its recently announced takeover of Groupe Smithfield Holdings  the European unit of Smithfield Foods Inc. ( SFD ) of the U.S.,neutral
2260,The sale  comprising the margarine business in Finland and Poland  follows the approval of the Polish competition authorities earlier in October .,neutral
2261,Net investment income,neutral
2262,Exel 's board of directors will propose a dividend of 0.2 euro $ 0.3 per share for 2006 at the annual general meeting on April 19  2007 .,neutral
2263,Both operating profit and net sales for the six-month period increased  respectively from EUR18 .1 m and EUR127 .6 m  as compared to the corresponding period in 2006 .,positive
2264,Please inform IR Johanna Koskinen of your participation no later than 20 April at 10 a.m. A telephone conference for financial analysts and investors  conducted in English  will begin at 3:00 p.m. Finnish time ( EET ) .,neutral
2265,Production at the plant will be based on Neste Oil 's proprietary technology that can use a flexible input of any vegetable oil or animal fat .,neutral
2266,`` Overall  we 're pleased with the startup curve ... and we 're pleased with the quality of the paper  '' Stora spokeswoman Patricia Dietz said Tuesday .,positive
2267,Almost the entire office building will be occupied by Metso .,neutral
2268,Construction volumes meanwhile grow at a rate of 10-15 percent annually .,positive
2269,When completed  the 120-meter Watchtower will be the highest building in Ireland .,neutral
2270,According to the report  Elisa 's and DNA 's joint market share of Finland 's telecom market is 59 % .,neutral
2271,Sanoma announced the Stock Option Scheme 2008 on 19 December 2008 .,neutral
2272,Both operating profit and net sales for the nine-month period increased  respectively by 26.6 % and 3.4 %  as compared to the corresponding period in 2006 .,positive
2273,As a result of the transaction  Sanoma Budapest has acquired a stake in the online store Egeszsegbolt .,neutral
2274,Profit before taxes decreased to EUR 31.6 mn from EUR 50.0 mn the year before .,negative
2275,In stead of being based on a soft drink  as is usual  the Teho energy drink is made with fresh water .,neutral
2276,According to Karhinen  OP-Pohjola is an exciting enterprise because the cooperation will bring huge opportunities for customers and the company itself .,positive
2277,The markets are almost completely controlled by three banks : Nordea  OP Bank Group  and Sampo .,neutral
2278,Around 250 of these reductions will be implemented through pension arrangements .,neutral
2279,The Annual Report contains the financial statements  the consolidated financial statements  the report by the Board of Directors and the auditor 's report .,neutral
2280,The electricity requirement of networks will grow with the new mobile generation .,neutral
2281,Nokia Messaging 1.1 enables customers to receive e-mails from up to 10 e-mail accounts on their mobile phone supporting all POP or IMAP e-mail services .,neutral
2282,Finnish lifting equipment maker Kone Oyj said on October 4  2007 it won an order worth 15 mln euro $ 21.2 mln to deliver a total of 53 custom designed elevators to Norwegian shipbuilder Aker Yards ASA .,positive
2283,The previous offer was 3.4 % of voting rights and 12.3 % of capital .,neutral
2284,These include software development for internet and mobile telephone content  communications  value-added software  financial services  security applications  systems integration and electronics  '' EBRD informed .,neutral
2285,Russian Media Ventures ' minority shareholder Peter Hervy denied the plans to sell OVA Press  the daily said .,neutral
2286,After the reporting period  BioTie North American licensing partner Somaxon Pharmaceuticals announced positive results with nalmefene in a pilot Phase 2 clinical trial for smoking cessation .,positive
